Prefecture name,Prefecture p-code,Region name,Region p-code
#adm2+name,#adm2+code,#adm1+name,#adm1+code
Coyah,GIN005001,Kindia,GIN005
Yomou,GIN008006,Nzerekore,GIN008
Lelouma,GIN006003,Labe,GIN006
Nzerekore,GIN008005,Nzerekore,GIN008
Lola,GIN008003,Nzerekore,GIN008
Mamou,GIN007002,Mamou,GIN007
Gueckedou,GIN008002,Nzerekore,GIN008
Macenta,GIN008004,Nzerekore,GIN008
Beyla,GIN008001,Nzerekore,GIN008
Kissidougou,GIN003004,Faranah,GIN003
Forecariah,GIN005003,Kindia,GIN005
Conakry,GIN002001,Conakry,GIN002
Kerouane,GIN004002,Kankan,GIN004
Dalaba,GIN007001,Mamou,GIN007
Dubreka,GIN005002,Kindia,GIN005
Pita,GIN007003,Mamou,GIN007
Faranah,GIN003003,Faranah,GIN003
Boffa,GIN001001,Boke,GIN001
Fria,GIN001005,Boke,GIN001
Boke,GIN001002,Boke,GIN001
Kankan,GIN004001,Kankan,GIN004
Dabola,GIN003001,Faranah,GIN003
Labe,GIN006002,Labe,GIN006
Kouroussa,GIN004003,Kankan,GIN004
Mandiana,GIN004004,Kankan,GIN004
Tougue,GIN006005,Labe,GIN006
Koubia,GIN006001,Labe,GIN006
Dinguiraye,GIN003002,Faranah,GIN003
Gaoual,GIN001003,Boke,GIN001
Mali,GIN006004,Labe,GIN006
Siguiri,GIN004005,Kankan,GIN004
Koundara,GIN001004,Boke,GIN001
Kindia,GIN005004,Kindia,GIN005
Telimele,GIN005005,Kindia,GIN005
